City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Adre,TD,2022-06-20 03:05:16,13.4667,22.2,80.31,35,38,5.32
191,Veraval,IN,2022-06-20 03:05:16,20.9,70.3667,85.71,76,96,15.01
192,Mount Isa,AU,2022-06-20 03:05:17,-20.7333,139.5,74.97,25,100,8.05
193,Kahului,US,2022-06-20 03:03:08,20.8947,-156.47,84.22,51,20,27.63
194,Caravelas,BR,2022-06-20 03:05:17,-17.7125,-39.2481,70.41,82,1,4.79
195,Comodoro Rivadavia,AR,2022-06-20 03:05:18,-45.8667,-67.5,39.06,56,0,13.8
196,Bambous Virieux,MU,2022-06-20 03:05:18,-20.3428,57.7575,66.22,72,3,11.25
197,Sinnamary,GF,2022-06-20 03:05:18,5.3833,-52.95,77.5,85,100,4.83
198,Azul,AR,2022-06-20 03:05:19,-36.777,-59.8585,40.33,78,65,6.82
199,Kapit,MY,2022-06-20 03:05:19,2.0167,112.9333,80.51,81,85,2.19
200,Borovskoy,KZ,2022-06-20 03:05:20,53.8,64.15,65.21,81,92,8.28
201,Bilma,NE,2022-06-20 03:00:48,18.6853,12.9164,84.72,13,0,11.52
202,Nouakchott,MR,2022-06-20 03:05:20,18.0858,-15.9785,76.93,91,100,6.82
203,Winnemucca,US,2022-06-20 03:05:21,40.973,-117.7357,57.25,38,0,4.61
204,Omsukchan,RU,2022-06-20 03:05:21,62.5333,155.8,63.01,42,65,7.94
205,Longyearbyen,SJ,2022-06-20 03:05:21,78.2186,15.6401,37.24,65,75,18.41
206,Porto Santo,PT,2022-06-20 03:05:22,33.072,-16.3415,66.58,72,40,14.97
207,Necochea,AR,2022-06-20 03:05:23,-38.5473,-58.7368,42.35,78,36,3.8
208,Ribeira Grande,PT,2022-06-20 03:05:23,38.5167,-28.7,63.59,74,27,22.41
209,Tuatapere,NZ,2022-06-20 03:05:23,-46.1333,167.6833,49.66,69,6,4.99
210,Fort Nelson,CA,2022-06-20 03:05:24,58.8053,-122.7002,72.63,40,42,3.02
211,Mezobereny,HU,2022-06-20 03:05:24,46.8167,21.0333,61.02,78,5,6.4
212,Las Vegas,US,2022-06-20 03:05:25,36.175,-115.1372,84.88,8,0,13.8
213,Severo-Kurilsk,RU,2022-06-20 03:05:25,50.6789,156.125,49.84,90,99,0.43
214,Haimen,CN,2022-06-20 03:05:25,23.1935,116.6142,84.56,76,100,16.6
215,Homa Bay,KE,2022-06-20 03:05:26,-0.5273,34.4571,65.34,82,100,4.92
216,Nemuro,JP,2022-06-20 03:05:26,43.3236,145.575,55.63,95,96,5.93
217,Iracoubo,GF,2022-06-20 03:05:27,5.4802,-53.2011,77.45,85,100,5.55
218,Namatanai,PG,2022-06-20 03:05:27,-3.6667,152.4333,85.05,65,11,3.91
219,Kamaishi,JP,2022-06-20 03:05:27,39.2667,141.8833,76.95,55,76,12.48
220,Negara,ID,2022-06-20 03:05:28,-8.3151,114.6025,83.57,68,75,10.45
